ASIN,Product_name,price,rating,Number_of_ratings,Brand,Seller,category,subcategory,sub_sub_category,category_sub_sub_sub,colour,size_options,description,link,Image_URLs,About_the_items_bullet,Product_details,Additional_Details,Manufacturer_Name
,"Lenovo IdeaPad 1 AMD Ryzen 5 5500U 15.6"" HD Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11 Home/Office Home 2024/1 Year ADP Free/Grey/1.6Kg), 82R4011MIN",₹33800.,4.0,2470,Visit the Lenovo Store,,,,,,,,,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMTU3MzM4MjYzOTk2MDY3OjE3NjM0MTA4MzE6c3BfcGhvbmVfc2VhcmNoX2F0ZjozMDAxMTk3ODE2NTg1MzI6OjA6Og&url=%2FLenovo-MSOffice-82R400BRIN-Integrated-Graphics%2Fdp%2FB09MM58Y7Q%2Fref%3Dmp_s_a_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.TurKsfLYLY2VjheS3kBjjtozFUlWbqoTgj8ajmpnTW_q8hKU2mHclM3sG2UDLdZF1mP0q2OXNgLOVWCa4cS8WLwr0_z5gwrI62Epm3MwcEKIug8dHrZJrfEO-RbvCCGpaGkoOX6p2UEUmp2LPG7tmh5rej8cmwNasrVrspV9umDGcQdyuFdphDw8AFbXjSNpX12Fx4fs75nePARf3kGuYw.q-kZNbWCZ60l3-0sr7E0KIDer8C2Nn_XO1__vXBjSmI%26dib_tag%3Dse%26keywords%3Dlaptops%26qid%3D1763410831%26sr%3D8-1-spons%26aref%3DlMaimNPW8b%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9waG9uZV9zZWFyY2hfYXRm%26psc%3D1&aref=lMaimNPW8b&sp_cr=ZAZ,,,{},{},
,,₹40990,3.8,0,,,,,,,,,,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMTU3MzM4MjYzOTk2MDY3OjE3NjM0MTA4MzE6c3BfcGhvbmVfc2VhcmNoX2F0ZjozMDA3NjQxMjkxOTQyMzI6OjA6Og&url=%2FDell-Vostro-Intel-Core-13th%2Fdp%2FB0FG2RJ9NC%2Fref%3Dmp_s_a_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.TurKsfLYLY2VjheS3kBjjtozFUlWbqoTgj8ajmpnTW_q8hKU2mHclM3sG2UDLdZF1mP0q2OXNgLOVWCa4cS8WLwr0_z5gwrI62Epm3MwcEKIug8dHrZJrfEO-RbvCCGpaGkoOX6p2UEUmp2LPG7tmh5rej8cmwNasrVrspV9umDGcQdyuFdphDw8AFbXjSNpX12Fx4fs75nePARf3kGuYw.q-kZNbWCZ60l3-0sr7E0KIDer8C2Nn_XO1__vXBjSmI%26dib_tag%3Dse%26keywords%3Dlaptops%26qid%3D1763410831%26sr%3D8-2-spons%26aref%3DPFgDCfHuZA%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9waG9uZV9zZWFyY2hfYXRm%26psc%3D1&aref=PFgDCfHuZA&sp_cr=ZAZ,,,{},{},
B0F4R3GFMQ,"HP 15, 13th Gen Intel Core i3-1315U (12GB DDR4, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365 Basic(1yr)* Office24, Silver, 1.59kg, fd0573TU, FHD Camera w/Shutter Laptop",₹37990.,4.0,782,Visit the HP Store,,,,,,,,,https://www.amazon.in/HP-i3-1315U-Anti-Glare-Micro-Edge-fd0573TU/dp/B0F4R3GFMQ/ref=mp_s_a_1_3?dib=eyJ2IjoiMSJ9.TurKsfLYLY2VjheS3kBjjtozFUlWbqoTgj8ajmpnTW_q8hKU2mHclM3sG2UDLdZF1mP0q2OXNgLOVWCa4cS8WLwr0_z5gwrI62Epm3MwcEKIug8dHrZJrfEO-RbvCCGpaGkoOX6p2UEUmp2LPG7tmh5rej8cmwNasrVrspV9umDGcQdyuFdphDw8AFbXjSNpX12Fx4fs75nePARf3kGuYw.q-kZNbWCZ60l3-0sr7E0KIDer8C2Nn_XO1__vXBjSmI&dib_tag=se&keywords=laptops&qid=1763410831&sr=8-3,,,{},{},
B0FM3C4L2F,,₹68990,4.1,0,,,,,,,,,,https://www.amazon.in/ASUS-Upgradeable-Keyboard-Graphite-FA506NCG-HN199W/dp/B0FM3C4L2F/ref=mp_s_a_1_4?dib=eyJ2IjoiMSJ9.TurKsfLYLY2VjheS3kBjjtozFUlWbqoTgj8ajmpnTW_q8hKU2mHclM3sG2UDLdZF1mP0q2OXNgLOVWCa4cS8WLwr0_z5gwrI62Epm3MwcEKIug8dHrZJrfEO-RbvCCGpaGkoOX6p2UEUmp2LPG7tmh5rej8cmwNasrVrspV9umDGcQdyuFdphDw8AFbXjSNpX12Fx4fs75nePARf3kGuYw.q-kZNbWCZ60l3-0sr7E0KIDer8C2Nn_XO1__vXBjSmI&dib_tag=se&keywords=laptops&qid=1763410831&sr=8-4,,,{},{},
B0CJ2KWNNQ,"HP Pavilion x360, 13th Gen Intel Core i5-1335U (16GB DDR4, 512GB SSD) Touchscreen, 14""/35.6cm, FHD, Win 11, Office 21, Silver, 1.51kg, ek1074tu/1148tu, Iris Xe, FPR, 5MP Camera, Backlit KB Laptop",₹66490.,3.8,278,Visit the HP Store,,,,,,,,,https://www.amazon.in/HP-Pavilion-i5-1335U-Laptop-Touchscreen/dp/B0CJ2KWNNQ/ref=mp_s_a_1_5?dib=eyJ2IjoiMSJ9.TurKsfLYLY2VjheS3kBjjtozFUlWbqoTgj8ajmpnTW_q8hKU2mHclM3sG2UDLdZF1mP0q2OXNgLOVWCa4cS8WLwr0_z5gwrI62Epm3MwcEKIug8dHrZJrfEO-RbvCCGpaGkoOX6p2UEUmp2LPG7tmh5rej8cmwNasrVrspV9umDGcQdyuFdphDw8AFbXjSNpX12Fx4fs75nePARf3kGuYw.q-kZNbWCZ60l3-0sr7E0KIDer8C2Nn_XO1__vXBjSmI&dib_tag=se&keywords=laptops&qid=1763410831&sr=8-5,,,{},{},
,,₹94990,4.6,0,Visit the Apple Store,,,,,,,,,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NzI5ODM0OTUxMzg1OTUwOjE3NjM0MTA4MzE6c3BfcGhvbmVfc2VhcmNoX3RoZW1hdGljOjMwMDQ5OTQ1MzM0NzczMjo6MDo6&url=%2FApple-MacBook-13-inch-10-core-Unified%2Fdp%2FB0DZDX3JF4%2Fref%3Dsxin_22_pa_sp_phone_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.ff2dac3f-824e-4f51-a25d-311e3f09efd3%253Aamzn1.sym.ff2dac3f-824e-4f51-a25d-311e3f09efd3%26cv_ct_cx%3Dlaptops%26keywords%3Dlaptops%26pd_rd_i%3DB0DZDX3JF4%26pd_rd_r%3De171c522-02f6-4c6e-adb6-c4a0215bbc78%26pd_rd_w%3DDnSBW%26pd_rd_wg%3DPWM6D%26pf_rd_p%3Dff2dac3f-824e-4f51-a25d-311e3f09efd3%26pf_rd_r%3DX2Y8X9NSSZYXTCKATQSB%26qid%3D1763410831%26sr%3D1-1-66673dcf-083f-43ba-b782-d4a436cc5cfb-spons%26aref%3D3PwmGseZ5X%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9waG9uZV9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=3PwmGseZ5X&sp_cr=ZAZ,,,{},{},
,,₹33800,4.0,0,,,,,,,,,,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NzI5ODM0OTUxMzg1OTUwOjE3NjM0MTA4MzE6c3BfcGhvbmVfc2VhcmNoX3RoZW1hdGljOjMwMDExOTc4MTY1ODUzMjo6MTo6&url=%2FLenovo-MSOffice-82R400BRIN-Integrated-Graphics%2Fdp%2FB09MM58Y7Q%2Fref%3Dsxin_22_pa_sp_phone_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.ff2dac3f-824e-4f51-a25d-311e3f09efd3%253Aamzn1.sym.ff2dac3f-824e-4f51-a25d-311e3f09efd3%26cv_ct_cx%3Dlaptops%26keywords%3Dlaptops%26pd_rd_i%3DB09MM58Y7Q%26pd_rd_r%3De171c522-02f6-4c6e-adb6-c4a0215bbc78%26pd_rd_w%3DDnSBW%26pd_rd_wg%3DPWM6D%26pf_rd_p%3Dff2dac3f-824e-4f51-a25d-311e3f09efd3%26pf_rd_r%3DX2Y8X9NSSZYXTCKATQSB%26qid%3D1763410831%26sr%3D1-2-66673dcf-083f-43ba-b782-d4a436cc5cfb-spons%26aref%3DlMaimNPW8b%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9waG9uZV9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=lMaimNPW8b&sp_cr=ZAZ,,,{},{},
,,₹92900,4.6,0,Visit the Apple Store,,,,,,,,,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMTU3MzM4MjYzOTk2MDY3OjE3NjM0MTA4MzE6c3BfcGhvbmVfc2VhcmNoX210ZjozMDA0OTk0NTMzNDc0MzI6OjA6Og&url=%2FApple-MacBook-13-inch-10-core-Unified%2Fdp%2FB0DZDDQ429%2Fref%3Dmp_s_a_1_6_sspa%3Fdib%3DeyJ2IjoiMSJ9.TurKsfLYLY2VjheS3kBjjtozFUlWbqoTgj8ajmpnTW_q8hKU2mHclM3sG2UDLdZF1mP0q2OXNgLOVWCa4cS8WLwr0_z5gwrI62Epm3MwcEKIug8dHrZJrfEO-RbvCCGpaGkoOX6p2UEUmp2LPG7tmh5rej8cmwNasrVrspV9umDGcQdyuFdphDw8AFbXjSNpX12Fx4fs75nePARf3kGuYw.q-kZNbWCZ60l3-0sr7E0KIDer8C2Nn_XO1__vXBjSmI%26dib_tag%3Dse%26keywords%3Dlaptops%26qid%3D1763410831%26sr%3D8-6-spons%26aref%3DzsKjVxuqwq%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9waG9uZV9zZWFyY2hfbXRm%26psc%3D1&aref=zsKjVxuqwq&sp_cr=ZAZ,,,{},{},
,,₹59990,3.9,0,,,,,,,,,,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMTU3MzM4MjYzOTk2MDY3OjE3NjM0MTA4MzE6c3BfcGhvbmVfc2VhcmNoX210ZjozMDA1MTE3MjQ5MzkwMzI6OjA6Og&url=%2FDell-15DC15250-Intel-Core-13th%2Fdp%2FB0DSFQZTVW%2Fref%3Dmp_s_a_1_7_sspa%3Fdib%3DeyJ2IjoiMSJ9.TurKsfLYLY2VjheS3kBjjtozFUlWbqoTgj8ajmpnTW_q8hKU2mHclM3sG2UDLdZF1mP0q2OXNgLOVWCa4cS8WLwr0_z5gwrI62Epm3MwcEKIug8dHrZJrfEO-RbvCCGpaGkoOX6p2UEUmp2LPG7tmh5rej8cmwNasrVrspV9umDGcQdyuFdphDw8AFbXjSNpX12Fx4fs75nePARf3kGuYw.q-kZNbWCZ60l3-0sr7E0KIDer8C2Nn_XO1__vXBjSmI%26dib_tag%3Dse%26keywords%3Dlaptops%26qid%3D1763410831%26sr%3D8-7-spons%26aref%3DhblGNX1gro%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9waG9uZV9zZWFyY2hfbXRm%26psc%3D1&aref=hblGNX1gro&sp_cr=ZAZ,,,{},{},
B0F5B1N9SJ,"HP 15, Intel Core Ultra 5 125H (16GB DDR5, 1TB SSD) FHD, IPS, 15.6''/39.6cm, Win11, M365 Basic(1yr)*Office24, Silver, 1.65kg, fd1354TU, Intel Arc Graphics, FHD Camera w/Shutter, AI Powered Laptop",₹64990.,3.9,1712,Visit the HP Store,,,,,,,,,https://www.amazon.in/HP-Office24-fd1354TU-Graphics-Shutter/dp/B0F5B1N9SJ/ref=mp_s_a_1_8?dib=eyJ2IjoiMSJ9.TurKsfLYLY2VjheS3kBjjtozFUlWbqoTgj8ajmpnTW_q8hKU2mHclM3sG2UDLdZF1mP0q2OXNgLOVWCa4cS8WLwr0_z5gwrI62Epm3MwcEKIug8dHrZJrfEO-RbvCCGpaGkoOX6p2UEUmp2LPG7tmh5rej8cmwNasrVrspV9umDGcQdyuFdphDw8AFbXjSNpX12Fx4fs75nePARf3kGuYw.q-kZNbWCZ60l3-0sr7E0KIDer8C2Nn_XO1__vXBjSmI&dib_tag=se&keywords=laptops&qid=1763410831&sr=8-8,,,{},{},
